1;Amiens SC 
2;Angers SCO
3;AS MONACO
4;AS ST ETIENNE
5;Dijon FCO 
6;EA Guingamp
7;ES Troyes AC
8;FC Metz
9;FC NANTES
10;GIRONDINS DE BORDEAUX
11;LILLE OSC
12;Montpellier HSC
13;OGC NICE
14;OLYMPIQUE DE MARSEILLE
15;OLYMPIQUE LYONNAIS
16;PARIS ST GERMAIN 
17;RC Strasbourg
18;SM Caen 
19;STADE RENNAIS FC
20;Toulouse FC 
